Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,11,44
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,11,45
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,11,46
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,12,48
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,12,49
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,12,50
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,12,51
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,12,52
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,1,1
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,1,2
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,1,3
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,2011,1,4
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,2,5
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,2,6
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,2,7
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,3,9
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,3,10
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,4,13
1,2011-11-04,1697229.58,0,54.98,3.332,217.837382,7.866,2011,11,44
1,2011-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,2011,11,45
1,2011-12-02,1584083.95,0,48.91,3.172,218.7147333,7.866,2011,12,48
1,2011-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,2011,12,49
1,2011-12-16,1881176.67,0,51.63,3.159,219.1794533,7.866,2011,12,50
1,2011-12-23,2270188.99,0,47.96,3.112,219.3577216,7.866,2011,12,51
1,2011-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,2011,12,52
1,2012-01-06,1550369.92,0,49.01,3.157,219.7142581,7.348,2012,1,1
1,2012-01-13,1459601.17,0,48.53,3.261,219.8925263,7.348,2012,1,2
1,2012-01-20,1394393.84,0,54.11,3.268,219.9856893,7.348,2012,1,3
1,2012-01-27,1319325.59,0,54.26,3.29,220.0788523,7.348,2012,1,4
1,2012-02-03,1636339.65,0,56.55,3.36,220.1720153,7.348,2012,2,5
1,2012-02-10,1802477.43,1,48.02,3.409,220.2651783,7.348,2012,2,6
1,2012-02-17,1819870.0,0,45.32,3.51,220.4257586,7.348,2012,2,7
1,2012-02-24,1539387.83,0,57.25,3.555,220.636902,7.348,2012,2,8
1,2012-03-09,1675431.16,0,58.76,3.669,221.0591887,7.348,2012,3,10
2,2010-02-05,2136989.46,0,40.19,2.572,210.7526053,8.324,2010,2,5
2,2010-02-12,2137809.5,1,38.49,2.548,210.8979935,8.324,2010,2,6
2,2010-02-19,2124451.54,0,39.69,2.514,210.9451605,8.324,2010,2,7
2,2010-02-26,1865097.27,0,46.1,2.561,210.9759573,8.324,2010,2,8
2,2010-03-05,1991013.13,0,47.17,2.625,211.0067542,8.324,2010,3,9
2,2010-03-12,1990483.78,0,57.56,2.667,211.037551,8.324,2010,3,10
2,2010-03-19,1946070.88,0,54.52,2.72,210.8733316,8.324,2010,3,11
2,2010-03-26,1750197.81,0,51.26,2.732,210.6766095,8.324,2010,3,12
2,2010-11-05,1939061.41,0,57.85,2.689,211.6135053,8.163,2010,11,44
2,2010-11-12,1916812.74,0,59.69,2.728,211.6608975,8.163,2010,11,45
2,2010-11-19,1956739.17,0,50.81,2.771,211.5470304,8.163,2010,11,46
2,2010-12-03,2015781.27,0,49.33,2.708,211.265543,8.163,2010,12,48
2,2010-12-10,2378726.55,0,45.5,2.843,211.1247993,8.163,2010,12,49
2,2010-12-17,2609166.75,0,47.55,2.869,211.0645458,8.163,2010,12,50
2,2010-12-24,3436007.68,0,49.97,2.886,211.0646599,8.163,2010,12,51
2,2010-12-31,1750434.55,1,47.3,2.943,211.064774,8.163,2010,12,52
2,2011-01-07,1758050.79,0,44.69,2.976,211.0648881,8.028,2011,1,1
2,2011-01-14,1744193.58,0,33.02,2.983,211.1176713,8.028,2011,1,2
2,2011-01-21,1751384.9,0,41.4,3.016,211.4864691,8.028,2011,1,3
2,2011-01-28,1695371.68,0,42.83,3.01,211.8552668,8.028,2011,1,4
2,2011-02-04,1929346.23,0,38.25,2.989,212.2240646,8.028,2011,2,5
2,2011-02-11,2168041.61,1,33.19,3.022,212.5928624,8.028,2011,2,6
2,2011-02-18,2080884.82,0,57.83,3.045,212.9033115,8.028,2011,2,7
2,2011-03-04,1981607.78,0,57.77,3.288,213.4775305,8.028,2011,3,9
2,2011-03-11,1879107.31,0,52.7,3.459,213.7646401,8.028,2011,3,10
2,2011-04-01,1800171.36,0,55.43,3.524,214.4886908,7.931,2011,4,13
2,2011-11-04,1959707.9,0,55.53,3.332,217.4853605,7.441,2011,11,44
2,2011-11-11,1920725.15,0,59.33,3.297,217.6455387,7.441,2011,11,45
2,2011-11-25,2614202.3,1,56.36,3.236,218.1130269,7.441,2011,11,47
2,2011-12-02,1954952.0,0,48.74,3.172,218.3590319,7.441,2011,12,48
2,2011-12-09,2290549.32,0,41.76,3.158,218.605037,7.441,2011,12,49
2,2011-12-16,2432736.52,0,50.13,3.159,218.8217928,7.441,2011,12,50
2,2011-12-23,3224369.8,0,46.66,3.112,218.9995495,7.441,2011,12,51
2,2011-12-30,1874226.52,1,44.57,3.129,219.1773063,7.441,2011,12,52
2,2012-01-06,1799520.14,0,46.75,3.157,219.355063,7.057,2012,1,1
2,2012-01-13,1744725.48,0,45.99,3.261,219.5328198,7.057,2012,1,2
2,2012-01-20,1711769.11,0,51.7,3.268,219.6258417,7.057,2012,1,3
2,2012-01-27,1660906.14,0,50.5,3.29,219.7188636,7.057,2012,1,4
2,2012-02-03,1935299.94,0,55.21,3.36,219.8118854,7.057,2012,2,5
2,2012-02-10,2103322.68,1,46.98,3.409,219.9049073,7.057,2012,2,6
2,2012-02-17,2196688.46,0,43.82,3.51,220.0651993,7.057,2012,2,7
2,2012-02-24,1861802.7,0,54.63,3.555,220.275944,7.057,2012,2,8
2,2012-03-02,1952555.66,0,58.79,3.63,220.4866886,7.057,2012,3,9
2,2012-03-09,1937628.26,0,57.11,3.669,220.6974332,7.057,2012,3,10
3,2010-02-05,461622.22,0,45.71,2.572,214.4248812,7.368,2010,2,5
3,2010-02-12,420728.96,1,47.93,2.548,214.5747916,7.368,2010,2,6
3,2010-02-19,421642.19,0,47.07,2.514,214.6198868,7.368,2010,2,7
3,2010-02-26,407204.86,0,52.05,2.561,214.6475127,7.368,2010,2,8
3,2010-03-05,415202.04,0,53.04,2.625,214.6751386,7.368,2010,3,9
3,2010-03-26,359949.27,0,57.06,2.732,214.3241011,7.368,2010,3,12
3,2010-11-19,372545.32,0,57.72,2.771,215.2074519,7.564,2010,11,46
3,2010-12-03,476420.77,0,53.76,2.708,214.9153531,7.564,2010,12,48
3,2010-12-10,467642.03,0,51.13,2.843,214.7693037,7.564,2010,12,49
3,2010-12-17,498159.39,0,52.2,2.869,214.704919,7.564,2010,12,50
3,2010-12-24,605990.41,0,57.16,2.886,214.7017828,7.564,2010,12,51
3,2010-12-31,382677.76,1,53.2,2.943,214.6986466,7.564,2010,12,52
3,2011-01-07,378241.34,0,53.35,2.976,214.6955104,7.551,2011,1,1
3,2011-01-14,381061.1,0,44.76,2.983,214.7470729,7.551,2011,1,2
3,2011-01-21,350876.7,0,50.74,3.016,215.1268275,7.551,2011,1,3
3,2011-01-28,364866.24,0,48.71,3.01,215.5065821,7.551,2011,1,4
3,2011-02-04,438516.53,0,45.95,2.989,215.8863367,7.551,2011,2,5
3,2011-02-11,430526.21,1,43.57,3.022,216.2660913,7.551,2011,2,6
3,2011-11-04,459443.22,0,59.31,3.332,221.245968,7.197,2011,11,44
3,2011-12-02,472511.32,0,54.97,3.172,222.1589519,7.197,2011,12,48
3,2011-12-09,468772.8,0,49.26,3.158,222.4167852,7.197,2011,12,49
3,2011-12-16,510747.62,0,57.95,3.159,222.6426418,7.197,2011,12,50
3,2011-12-23,551221.21,0,53.41,3.112,222.8258628,7.197,2011,12,51
3,2011-12-30,410553.88,1,48.29,3.129,223.0090839,7.197,2011,12,52
3,2012-01-06,398178.21,0,52.42,3.157,223.1923049,6.833,2012,1,1
3,2012-01-13,367438.62,0,51.86,3.261,223.3755259,6.833,2012,1,2
3,2012-01-20,365818.61,0,56.2,3.268,223.4700552,6.833,2012,1,3
3,2012-01-27,349518.1,0,58.06,3.29,223.5645845,6.833,2012,1,4
3,2012-02-03,424960.66,0,59.33,3.36,223.6591137,6.833,2012,2,5
3,2012-02-10,473292.47,1,51.65,3.409,223.753643,6.833,2012,2,6
3,2012-02-17,475591.08,0,52.39,3.51,223.9170153,6.833,2012,2,7
4,2010-02-05,2135143.87,0,43.76,2.598,126.4420645,8.623,2010,2,5
4,2010-02-12,2188307.39,1,28.84,2.573,126.4962581,8.623,2010,2,6
4,2010-02-19,2049860.26,0,36.45,2.54,126.5262857,8.623,2010,2,7
4,2010-02-26,1925728.84,0,41.36,2.59,126.5522857,8.623,2010,2,8
4,2010-03-05,1971057.44,0,43.49,2.654,126.5782857,8.623,2010,3,9
4,2010-03-12,1894324.09,0,49.63,2.704,126.6042857,8.623,2010,3,10
4,2010-03-19,1897429.36,0,55.19,2.743,126.6066452,8.623,2010,3,11
4,2010-03-26,1762539.3,0,39.91,2.752,126.6050645,8.623,2010,3,12
4,2010-04-02,1979247.12,0,48.77,2.74,126.6034839,7.896,2010,4,13
4,2010-04-09,1818452.72,0,54.16,2.773,126.6019032,7.896,2010,4,14
4,2010-04-16,1851519.69,0,56.23,2.81,126.5621,7.896,2010,4,15
4,2010-04-23,1802677.9,0,56.87,2.805,126.4713333,7.896,2010,4,16
4,2010-04-30,1817273.28,0,53.04,2.787,126.3805667,7.896,2010,4,17
4,2010-05-07,2000626.14,0,56.77,2.836,126.2898,7.896,2010,5,18
4,2010-10-29,1933333.0,0,56.94,2.718,126.4364194,7.127,2010,10,43
4,2010-11-05,2013115.79,0,51.6,2.699,126.4912903,7.127,2010,11,44
4,2010-11-12,1999794.26,0,52.65,2.741,126.5461613,7.127,2010,11,45
4,2010-11-19,2097809.4,0,48.05,2.78,126.6072,7.127,2010,11,46
4,2010-11-26,2789469.45,1,48.08,2.752,126.6692667,7.127,2010,11,47
4,2010-12-03,2102530.17,0,46.4,2.727,126.7313333,7.127,2010,12,48
4,2010-12-10,2302504.86,0,42.4,2.86,126.7934,7.127,2010,12,49
4,2010-12-17,2740057.14,0,46.57,2.884,126.8794839,7.127,2010,12,50
4,2010-12-24,3526713.39,0,43.21,2.887,126.9835806,7.127,2010,12,51
4,2010-12-31,1794868.74,1,38.09,2.955,127.0876774,7.127,2010,12,52
4,2011-01-07,1862476.27,0,39.34,2.98,127.1917742,6.51,2011,1,1
4,2011-01-14,1865502.46,0,31.6,2.992,127.3009355,6.51,2011,1,2
4,2011-01-21,1886393.94,0,38.34,3.017,127.4404839,6.51,2011,1,3
4,2011-01-28,1814240.85,0,40.6,3.022,127.5800323,6.51,2011,1,4
4,2011-02-04,2119086.04,0,34.61,2.996,127.7195806,6.51,2011,2,5
4,2011-02-11,2187847.29,1,33.29,3.033,127.859129,6.51,2011,2,6
4,2011-02-18,2316495.56,0,48.17,3.058,127.99525,6.51,2011,2,7
4,2011-02-25,2078094.69,0,49.0,3.087,128.13,6.51,2011,2,8
4,2011-03-04,2103455.75,0,46.56,3.305,128.26475,6.51,2011,3,9
4,2011-03-11,2039818.41,0,50.93,3.461,128.3995,6.51,2011,3,10
4,2011-03-18,2116475.38,0,51.86,3.495,128.5121935,6.51,2011,3,11
4,2011-03-25,1944164.32,0,59.1,3.48,128.6160645,6.51,2011,3,12
4,2011-04-01,1900246.47,0,56.99,3.521,128.7199355,5.946,2011,4,13
4,2011-10-28,2151659.59,0,55.31,3.362,129.7936774,5.143,2011,10,43
4,2011-11-04,2281217.31,0,49.86,3.322,129.8051935,5.143,2011,11,44
4,2011-11-11,2203028.96,0,47.12,3.286,129.8167097,5.143,2011,11,45
4,2011-11-18,2243946.59,0,50.44,3.294,129.8268333,5.143,2011,11,46
4,2011-11-25,3004702.33,1,47.96,3.225,129.8364,5.143,2011,11,47
4,2011-12-02,2180999.26,0,38.71,3.176,129.8459667,5.143,2011,12,48
4,2011-12-09,2508955.24,0,31.64,3.153,129.8555333,5.143,2011,12,49
4,2011-12-16,2771397.17,0,36.44,3.149,129.8980645,5.143,2011,12,50
4,2011-12-23,3676388.98,0,35.92,3.103,129.9845484,5.143,2011,12,51
4,2011-12-30,2007105.86,1,36.89,3.119,130.0710323,5.143,2011,12,52
4,2012-01-06,2047766.07,0,38.64,3.158,130.1575161,4.607,2012,1,1
4,2012-01-13,1941676.61,0,34.41,3.263,130.244,4.607,2012,1,2
4,2012-01-20,2005097.76,0,42.09,3.273,130.2792258,4.607,2012,1,3
4,2012-01-27,1928720.51,0,40.31,3.29,130.3144516,4.607,2012,1,4
4,2012-02-03,2173373.91,0,41.81,3.354,130.3496774,4.607,2012,2,5
4,2012-02-10,2374660.64,1,33.0,3.411,130.3849032,4.607,2012,2,6
4,2012-02-17,2427640.17,0,34.19,3.493,130.4546207,4.607,2012,2,7
4,2012-02-24,2226662.17,0,41.31,3.541,130.5502069,4.607,2012,2,8
4,2012-03-02,2206319.9,0,50.38,3.619,130.6457931,4.607,2012,3,9
4,2012-03-09,2202450.81,0,53.63,3.667,130.7413793,4.607,2012,3,10
4,2012-03-16,2214967.44,0,59.81,3.707,130.8261935,4.607,2012,3,11
4,2012-03-23,2091592.54,0,59.07,3.759,130.8966452,4.607,2012,3,12
4,2012-10-12,2133026.07,0,57.11,3.603,131.1083333,3.879,2012,10,41
5,2010-02-05,317173.1,0,39.7,2.572,211.6539716,6.566,2010,2,5
